,user_id,fl_approved
209,03787254-5165-43b2-b93c-70610e273d0f,1
210,037db534-c5d3-47c4-814f-bb492eaa8d29,1
211,037f51f5-bcab-4f15-b78f-7438b7aa7732,1
212,03805cf3-0b1e-4c42-8173-a91c37e09b73,0
213,0380fedc-37f3-4f46-bfb2-541a414a6110,0
214,0381ca6b-1c57-4425-8115-554fdd5c38d6,1
215,03889640-4250-42a8-93d6-71751381ab19,1
216,038c66a8-4273-45a9-85c1-3e22b0f7e6eb,0
217,03951da2-c02e-4bfc-b062-1c111ab051a9,0
218,0396d082-f204-49e1-980e-c01e79b48955,1
219,03999ceb-4c39-4038-af5e-ffc1b5c6ec42,1
220,039b807d-1f13-4ce9-9121-3e9e516181cf,1
221,03a2c750-fd3a-4dc8-a9cf-e2eef8123ba4,1
222,03a2df6d-86b8-45a8-9d54-6292fce9cf43,1
223,03a969ef-04a5-4abb-8ba9-ff0c959d3fbe,1
224,03ac70b1-0e32-4f85-b946-85bd9589ee6f,1
225,03acac6e-ecce-435d-8384-2978b7588605,1
226,03acc979-08ba-49e3-b53f-2ae07c278f44,1
227,03b2d54d-39a7-4677-9997-45fa7fa17fb9,1
228,03b33597-2139-4ad1-8ae9-27dd3a57a62f,1
229,03b9f900-5671-4ecd-b0dd-04f800a94f61,1
230,03ca2eee-777d-452f-aebd-ca0955846370,0
231,03ca8072-7f3b-4676-b165-7d488e1f3a2d,1
232,03cc8bd7-6340-40e4-bf40-ac2eacdc5660,1
233,03cd5ac0-678a-4e59-96f3-57d43089f5f5,1
234,03d15263-afee-447d-9023-ddd373d34e07,1
235,03d6276d-fc99-4da7-a898-b31827dcc64c,1
236,03e54f93-df6e-415b-93d6-af4dbbe5e43d,1
237,03e8e099-d922-4b9c-8879-f4d41752504b,1
238,03ebc097-afaf-43b7-8202-eb049696bf87,1
239,03ec2296-69b3-48d5-8a33-9126fcd04794,0
240,03ece982-a34b-492a-be70-fe59dde80616,0
241,03f95b97-b36e-4839-8ecb-5ee20a120761,0
242,03fa7564-2286-4270-a5fd-d6db8b63bc22,1
243,03fd6b75-4c3c-40bb-9c5f-74532e2cdb46,0
244,0400d443-cb5a-4acf-a70c-15a1c76fb741,1
245,0400df04-1785-4211-bc62-77e73ca988d2,1
246,04026832-b26e-4b6f-8037-04a24940a46b,1
247,0402945b-0c1b-4a27-b7ce-8b65f5a54f28,0
248,040866ab-89ad-45d5-83e7-3d9aea402127,1
249,0409d52b-4e12-4458-99a4-94f7b15601e2,1
250,040bce47-b359-4e0e-b364-a0902ab65075,1
251,040caedb-9968-4318-872b-717bf2b1ca80,0
252,0412a8bd-5511-4f46-a08e-7cc9b3a62a11,1
